Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,PDZ Domain Binding (GO:0030165),1/62,0.9450559174414562,0.9999953487767658,0,0,0.3419974115616911,0.0193266777436885,SLC22A12
GO_Molecular_Function_2023,Guanyl Ribonucleotide Binding (GO:0032561),6/226,0.9488302816823132,0.9999953487767658,0,0,0.5673148240954194,0.0297984014573965,PDE11A;PDE2A;RHOJ;CNGA1;PCK1;GEM
GO_Molecular_Function_2023,"Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)",1/64,0.9499726311704833,0.9999953487767658,0,0,0.3311055416318574,0.016993033074649,GLYAT
GO_Molecular_Function_2023,Protein Kinase Regulator Activity (GO:0019887),2/103,0.9522256358670124,0.9999953487767658,0,0,0.4126897870906739,0.0202025103677394,SOCS3;SNCA
GO_Molecular_Function_2023,Double-Stranded RNA Binding (GO:0003725),1/65,0.9522636145504052,0.9999953487767658,0,0,0.3259148848684211,0.0159415974646019,ZFR2
GO_Molecular_Function_2023,GTPase Regulator Activity (GO:0030695),13/424,0.9535584498720776,0.9999953487767658,0,0,0.6563611786969451,0.031212964089013,P2RY12;RASGRF2;HTR2B;ARHGAP28;SLC6A2;RUNDC3A;PREX2;DOCK11;RGS2;ARHGAP20;ALDH1A1;SLIT2;RGL1
GO_Molecular_Function_2023,GDP Binding (GO:0019003),1/67,0.9565359406630674,0.9999953487767658,0,0,0.3160054492291334,0.0140423074841846,GEM
GO_Molecular_Function_2023,Ubiquitin-Like Protein Ligase Activity (GO:0061659),9/319,0.957862408291354,0.9999953487767658,0,0,0.60302954610334,0.0259611065425102,C10ORF90;TRIM50;EGR2;NEURL1;DTX1;LONRF3;RNF150;NCCRP1;RNF186
GO_Molecular_Function_2023,Protein Kinase Binding (GO:0019901),16/511,0.9598954906029862,0.9999953487767658,0,0,0.6699593482202177,0.0274220152365782,TSKS;DUSP1;CAVIN2;CAV2;CAV1;PDE3B;ANK2;PTN;PHYHIP;CNKSR2;ACTA2;ZFP36;NR4A3;DACT2;SPRY2;FERMT2
GO_Molecular_Function_2023,RNA Nuclease Activity (GO:0004540),1/70,0.9622389563181638,0.9999953487767658,0,0,0.3022184083396898,0.0116331311488498,RNASE7
GO_Molecular_Function_2023,Cysteine-Type Peptidase Activity (GO:0008234),3/144,0.9628474358016568,0.9999953487767658,0,0,0.4429740472293664,0.0167711328424123,SFRP1;CTSK;USP44
